gene_id	gene_symbol	mean_expression	log2_fold_change	t_statistic	pvalue	padj
ENSG00000000371	FOXO3	8.3647	3.2735	17.6903	5.635951601226189e-11	2.1935123631972328e-07
ENSG00000002909	MYC	8.603	-2.2379	-15.9889	2.1805793174203498e-10	4.2434073517000006e-07
ENSG00000000209	NLRP3	7.5935	2.4697	15.1481	4.4686505196368475e-10	5.797329274142203e-07
ENSG00000001452	SCD	8.5647	-2.6533	-12.258	7.114961945776741e-09	6.922857973240768e-06
ENSG00000002358	CD4	7.3184	-2.082	-11.3721	1.8587218835550565e-08	1.4468291141592559e-05
ENSG00000000117	TWIST1	6.8055	3.2111	10.9412	3.032131833660025e-08	1.5990997298144256e-05
ENSG00000000837	ZEB2	7.8423	-2.0238	-10.8715	3.2869470294232795e-08	1.5990997298144256e-05
ENSG00000000843	PDHA1	4.9843	-2.4427	-11.1116	2.4940908482931688e-08	1.5990997298144256e-05
ENSG00000000962	MYD88	10.0083	-2.7031	-10.7059	3.987581292547643e-08	1.724407376732825e-05
ENSG00000002701	NDUFA1	9.0545	2.5164	10.4245	5.5680869079195445e-08	2.1670994245622865e-05
ENSG00000001060	AXIN2	10.7206	2.4409	10.3426	6.144671406622308e-08	2.1740964649612744e-05
ENSG00000003353	TSC1	6.8473	-2.1941	-10.0521	8.759174721952909e-08	2.84089233482006e-05
ENSG00000002498	NDUFS1	8.2484	2.2521	9.8175	1.1730050364719655e-07	3.3078998168680697e-05
ENSG00000001333	CD19	8.1532	2.3721	9.8061	1.1898920204561401e-07	3.3078998168680697e-05
ENSG00000003882	BRCA2	7.9199	2.2944	9.7267	1.3151867085543313e-07	3.412471113128971e-05
ENSG00000003832	GSR	6.2172	3.779	9.3589	2.108761063845371e-07	4.8278223885212846e-05
ENSG00000003525	HEY1	6.8567	2.9139	9.3942	2.0142434678379442e-07	4.8278223885212846e-05
ENSG00000003615	NFE2L2	4.6954	-2.8679	-9.297	2.2864798365471876e-07	4.9438775132453635e-05
ENSG00000000256	BID	6.4888	2.5009	9.159	2.7418180498821975e-07	5.616397815863954e-05
ENSG00000002441	TGFBR1	6.7935	-2.4429	-9.0387	3.2173058457915064e-07	6.260877175910272e-05
ENSG00000002143	TAZ	5.8257	-2.8569	-8.8076	4.39414553297511e-07	8.143816387780537e-05
ENSG00000002131	HNF4A	10.0353	1.6182	8.6578	5.395171795507412e-07	9.54454937641584e-05
ENSG00000003407	XRCC1	8.6383	2.6059	8.3513	8.274715593182843e-07	0.00014002257864638096
ENSG00000000856	SLC457	7.5942	-2.384	-8.3109	8.761816860112574e-07	0.00014208746341482558
ENSG00000002452	SIRT1	6.4997	-1.9381	-8.2682	9.309128427353886e-07	0.0001449245113570453
ENSG00000004126	STAT5A	6.0577	3.1475	8.2407	9.682232230059235e-07	0.00014493556861304056
ENSG00000000545	CCND1	11.8313	2.9779	8.0351	1.3013096464586376e-06	0.000187581375704334
ENSG00000000349	CASP8	7.3122	-2.7304	-7.8824	1.6263346459589559e-06	0.00021826532558869848
ENSG00000001064	G6PD	5.5611	2.0986	7.8917	1.604413041636149e-06	0.00021826532558869848
ENSG00000003104	FLT1	8.459	2.0321	7.8444	1.720079358640123e-06	0.00022315162879424532
ENSG00000000824	RNF51	6.1014	-1.8818	-7.7925	1.8570970451404854e-06	0.0002331555386995732
ENSG00000002834	PRKAA1	9.1232	-3.2291	-7.5665	2.603347404217368e-06	0.00031067230135936195
ENSG00000000268	PALB2	6.4148	-1.7671	-7.5587	2.634169050580407e-06	0.00031067230135936195
ENSG00000001212	TUBB851	9.1912	1.9851	7.535	2.730024531953561e-06	0.0003125075140695077
ENSG00000001011	KIF53	10.7856	1.7394	7.4834	2.9525058321467752e-06	0.00032831864853472145
ENSG00000000659	KEAP1	8.675	2.6883	7.4422	3.143608001609929e-06	0.00033067357681799574
ENSG00000000932	ANK809	8.3453	2.1519	7.4515	3.0989953643780554e-06	0.00033067357681799574
ENSG00000003382	COL1A1	7.3012	2.1432	7.3399	3.676418796803594e-06	0.00037654268308314707
ENSG00000002856	SOD2	6.9475	2.3293	7.0508	5.7664505276734644e-06	0.0005754621911206442
ENSG00000003278	SOD1	8.032	3.047	7.0167	6.084809857084479e-06	0.0005920519990943198
ENSG00000002470	LDHA	7.0481	-2.0658	-6.8411	8.04784486285698e-06	0.0007639563952741308
ENSG00000001434	CASP9	7.4552	-2.3285	-6.7604	9.164066476960752e-06	0.0008476455936558938
ENSG00000002948	SMAD2	7.5769	2.1438	6.7328	9.582838160549672e-06	0.0008476455936558938
ENSG00000003462	ESR1	6.6892	2.1349	6.7396	9.476689624457461e-06	0.0008476455936558938
ENSG00000000293	TET290	5.7098	2.2698	6.6755	1.0515685044123209e-05	0.000909489915371723
ENSG00000003169	CHEK2	4.8548	-2.5174	-6.6489	1.0980729110708376e-05	0.0009290651673668913
ENSG00000003842	MRPL474	6.9841	-1.8098	-6.6045	1.1806885586746527e-05	0.0009777106107152656
ENSG00000003903	UQCRC1	7.1288	-2.61	-6.5459	1.2996707778704493e-05	0.0010323099321370998
ENSG00000002379	USP194	8.0479	-1.6002	-6.5509	1.2890317716212889e-05	0.0010323099321370998
ENSG00000000088	SIRT505	7.0379	2.1599	6.5134	1.3712031489976637e-05	0.0010673445311797814
ENSG00000002056	FOXP3	5.4059	-2.763	-6.4971	1.408538905863631e-05	0.0010749085140433828
ENSG00000001689	ABC501	8.6064	1.4121	6.437	1.555763968745547e-05	0.001142459125727862
ENSG00000002276	HDAC429	5.7379	-1.7303	-6.4484	1.5267201878104055e-05	0.001142459125727862
ENSG00000002378	TGFB1	9.0832	1.7907	6.4218	1.5957092610976894e-05	0.0011500926748504088
ENSG00000002263	KIF679	7.7177	1.3154	6.3717	1.7342835145560533e-05	0.001227242079754938
ENSG00000002236	TLR4	10.8335	3.0189	6.2484	2.1324783955956366e-05	0.0014820724849389673
ENSG00000000229	RPL621	10.2165	-1.8853	-6.1997	2.3151879191293287e-05	0.0015808265581142714
ENSG00000003299	RPL630	6.078	-1.8597	-6.1028	2.729459711261986e-05	0.001800518168852822
ENSG00000001081	SKP377	5.6026	-1.3146	-6.1114	2.6895510855259573e-05	0.001800518168852822
ENSG00000003139	SDHB	6.5252	3.0268	6.0575	2.9490663730520734e-05	0.0018816010367079788
ENSG00000003417	HNF1A	6.2526	2.9864	6.0655	2.9088872794513075e-05	0.0018816010367079788
ENSG00000003503	SLC16A1	10.0437	2.4173	6.0406	3.0356861274368982e-05	0.0019056274851587754
ENSG00000001837	KRT581	5.1883	-2.153	-5.9559	3.5116542019375875e-05	0.0021694219291969984
ENSG00000003189	RPS385	8.3667	1.4863	5.9114	3.792386693037849e-05	0.0023062451577036415
ENSG00000002160	ID1	4.1957	-3.4315	-5.8019	4.5876328453946454e-05	0.0027469333898886093
ENSG00000002784	THRB	7.2158	2.0772	5.5903	6.659584921265798e-05	0.003927137047510074
ENSG00000001201	MRPL532	5.3845	-1.1783	-5.539	7.296718949766346e-05	0.004176298551836856
ENSG00000000832	SEC619	5.2893	-1.8076	-5.5414	7.265166389672302e-05	0.004176298551836856
ENSG00000001866	APC	8.3272	1.5211	5.5292	7.425006528167738e-05	0.004188134117047657
ENSG00000002070	MAPK339	7.1102	1.9785	5.5211	7.534030272434945e-05	0.0041889208314738295
