gene_id	gene_symbol	mean_expression	log2_fold_change	t_statistic	pvalue	padj
ENSG00000002834	PRKAA1	9.1232	-3.2291	-21.5972	1.4376280374138681e-11	5.595248321614775e-08
ENSG00000000545	CCND1	11.8313	2.9779	20.3267	3.095723859424359e-11	6.024278630439803e-08
ENSG00000002236	TLR4	10.8335	3.0189	17.5321	1.9873230771854653e-10	2.578220472135277e-07
ENSG00000000371	FOXO3	8.3647	3.2735	17.0632	2.7884318193368905e-10	2.713144160214794e-07
ENSG00000000962	MYD88	10.0083	-2.7031	-15.7727	7.417233413318386e-10	5.773574488927031e-07
ENSG00000002909	MYC	8.603	-2.2379	-15.4212	9.805645844256585e-10	6.360595604307772e-07
ENSG00000000209	NLRP3	7.5935	2.4697	14.918	1.4770949126896078e-09	8.21264771455422e-07
ENSG00000004126	STAT5A	6.0577	3.1475	13.8196	3.777924961441717e-09	1.8379604937413952e-06
ENSG00000002056	FOXP3	5.4059	-2.763	-12.3918	1.4200728162833624e-08	6.1410260010831625e-06
ENSG00000001452	SCD	8.5647	-2.6533	-12.0029	2.083610486617248e-08	8.109412013914329e-06
ENSG00000002563	ATM	8.6518	2.2186	11.5918	3.16137339592594e-08	1.0253387714119798e-05
ENSG00000001762	BMP4	9.1512	2.4038	11.6412	3.005129695168123e-08	1.0253387714119798e-05
ENSG00000002358	CD4	7.3184	-2.082	-11.4361	3.714165109116543e-08	1.1119638926678142e-05
ENSG00000000117	TWIST1	6.8055	3.2111	11.3175	4.204270967092458e-08	1.1631331323746643e-05
ENSG00000003882	BRCA2	7.9199	2.2944	11.2566	4.48278442590441e-08	1.1631331323746643e-05
ENSG00000001448	BCL2L1	14.7218	2.2632	10.9913	5.946068761534013e-08	1.3676705151528683e-05
ENSG00000000843	PDHA1	4.9843	-2.4427	-10.987	5.973894850359394e-08	1.3676705151528683e-05
ENSG00000000256	BID	6.4888	2.5009	10.9177	6.437334636194038e-08	1.3918948002259555e-05
ENSG00000003525	HEY1	6.8567	2.9139	10.7845	7.440102873617299e-08	1.4478440192059264e-05
