gene_id	gene_symbol	baseline_expression	true_log2_fold_change	is_differential	batch_log2_shift	gene_sets
ENSG00000000001	DNMT278	16.79	0.0	0	0.9159	ADIPOGENESIS;RIBOSOME_BIOGENESIS
ENSG00000000002	TIMM734	3.63	0.0	0	0.1814	MYC_TARGETS
ENSG00000000003	DYNC643	5.63	0.0	0	-0.0994	
ENSG00000000004	USP755	7.62	0.0	0	0.3642	
ENSG00000000005	GABR130	18.49	0.0	0	-0.6943	P53_SIGNALING
ENSG00000000006	DNMT654	60.38	0.0	0	-0.2675	
ENSG00000000007	FBXO780	65.03	0.0	0	1.1532	
ENSG00000000008	GRIN121	1.1	0.0	0	0.5803	
ENSG00000000009	FBXO194	33.12	0.0	0	-0.0516	TGF_BETA_SIGNALING
ENSG00000000010	GRIN456	0.24	0.0	0	-0.5975	TGF_BETA_SIGNALING;PROTEIN_SECRETION
ENSG00000000011	PPP2R421	1.35	0.0	0	0.3201	WNT_BETA_CATENIN_SIGNALING;MAPK_SIGNALING
ENSG00000000012	DNMT260	253.64	0.0	0	0.8867	WNT_BETA_CATENIN_SIGNALING;MYOGENESIS
ENSG00000000013	HDAC271	535.8	0.0	0	-0.2229	
ENSG00000000014	KRT380	821.9	0.0	0	-0.4075	
ENSG00000000015	GABR136	4.25	0.0	0	-0.445	
ENSG00000000016	GABR654	407.56	0.0	0	0.7576	ESTROGEN_RESPONSE
ENSG00000000017	USP23	53.52	0.0	0	-1.4306	HEDGEHOG_SIGNALING
ENSG00000000018	RAB11FIP69	4.59	0.0	0	0.9192	PROTEIN_SECRETION
ENSG00000000019	GATA3	33.35	-2.2192	1	0.3307	GLYCOLYSIS
ENSG00000000020	MRPS449	82.48	0.0	0	-0.5315	
ENSG00000000021	RAB11FIP187	1.32	0.0	0	-0.7825	
ENSG00000000022	SPTB760	108.56	0.0	0	-0.0572	
ENSG00000000023	H2AF542	8.33	0.0	0	0.5408	MAPK_SIGNALING;MYOGENESIS
ENSG00000000024	SUZ321	93.07	0.0	0	-0.6849	MYOGENESIS
ENSG00000000025	TRIM56	0.95	0.0	0	1.2914	
ENSG00000000026	CACN47	26.28	0.0	0	0.7499	TGF_BETA_SIGNALING;HEDGEHOG_SIGNALING;E2F_TARGETS
ENSG00000000027	PLC858	31.67	0.0	0	-0.5945	
ENSG00000000028	RPL476	2337.11	0.0	0	1.1874	
ENSG00000000029	PPP2R825	73.96	0.0	0	0.2608	EXTRACELLULAR_MATRIX_ORGANIZATION
ENSG00000000030	ZNF424	24.79	0.0	0	1.0378	XENOBIOTIC_METABOLISM
ENSG00000000031	SEC86	0.57	0.0	0	-1.0326	ANGIOGENESIS;EXTRACELLULAR_MATRIX_ORGANIZATION
ENSG00000000032	TRIM620	22.28	0.0	0	-2.0808	OXIDATIVE_PHOSPHORYLATION;APOPTOSIS;ESTROGEN_RESPONSE;PROTEIN_SECRETION
ENSG00000000033	PPP1R676	230.52	0.0	0	0.5104	HEDGEHOG_SIGNALING
ENSG00000000034	DNMT385	17.57	0.0	0	-1.1903	CHOLESTEROL_HOMEOSTASIS;NOTCH_SIGNALING
ENSG00000000035	VCL761	31.23	0.0	0	0.3904	ANDROGEN_RESPONSE
ENSG00000000036	ANK268	5.82	0.0	0	1.2866	CHOLESTEROL_HOMEOSTASIS
ENSG00000000037	ABC647	1518.89	0.0	0	-0.0472	REACTIVE_OXYGEN_SPECIES
ENSG00000000038	UGT374	21.66	0.0	0	0.4775	
ENSG00000000039	ARID178	443.79	0.0	0	-0.0853	XENOBIOTIC_METABOLISM
ENSG00000000040	GRIN342	46.42	0.0	0	2.2227	
ENSG00000000041	CDH1	11.1	0.0	0	-1.4545	
ENSG00000000042	KIF221	236.94	0.0	0	0.2002	
ENSG00000000043	CUL463	48.06	0.0	0	1.1069	RIBOSOME_BIOGENESIS
ENSG00000000044	ARF658	64.73	0.0	0	-0.5235	SPERMATOGENESIS;MRNA_SPLICING
ENSG00000000045	DNMT442	18.53	0.0	0	-0.1203	ESTROGEN_RESPONSE
ENSG00000000046	RAB598	23.21	0.0	0	1.3327	EXTRACELLULAR_MATRIX_ORGANIZATION;WNT_BETA_CATENIN_SIGNALING
ENSG00000000047	TMEM716	19.5	0.0	0	0.5642	CHOLESTEROL_HOMEOSTASIS
ENSG00000000048	DYNC505	62.93	0.0	0	0.3142	
ENSG00000000049	PXN846	121.86	0.0	0	1.0924	FATTY_ACID_METABOLISM
ENSG00000000050	DUSP547	14.2	0.0	0	-1.3476	P53_SIGNALING
ENSG00000000051	CDC222	7.08	0.0	0	-1.242	FATTY_ACID_METABOLISM
ENSG00000000052	GRIN746	9.35	0.0	0	0.6002	
ENSG00000000053	SMARC85	93.1	0.0	0	-0.7214	
ENSG00000000054	OR281	0.41	0.0	0	0.0382	
ENSG00000000055	CACN39	2.77	0.0	0	-0.8275	
ENSG00000000056	FBXO756	28.06	0.0	0	0.4943	REACTIVE_OXYGEN_SPECIES
ENSG00000000057	ARID286	259.09	0.0	0	-0.8161	MAPK_SIGNALING
ENSG00000000058	UGT418	65.0	0.0	0	0.679	
ENSG00000000059	CDC735	25.14	0.0	0	0.201	
ENSG00000000060	RPS347	2.25	0.0	0	0.5503	CHOLESTEROL_HOMEOSTASIS;IL6_JAK_STAT3_SIGNALING
ENSG00000000061	TUBB643	108.86	0.0	0	-1.4726	REACTIVE_OXYGEN_SPECIES
ENSG00000000062	EIF120	187.44	-1.3949	1	1.663	DNA_REPAIR;EXTRACELLULAR_MATRIX_ORGANIZATION
ENSG00000000063	MRPS875	94.07	0.0	0	0.2797	
ENSG00000000064	SEC767	14.5	0.0	0	-0.219	
ENSG00000000065	PXN22	28.8	0.0	0	-0.9189	
ENSG00000000066	ARID317	165.46	0.0	0	-0.2282	
ENSG00000000067	HDAC729	17.06	0.0	0	0.8933	
ENSG00000000068	SEC354	33.99	0.0	0	0.8378	ANGIOGENESIS
ENSG00000000069	COL21	3186.94	0.0	0	0.3937	FATTY_ACID_METABOLISM
ENSG00000000070	CYP159	123.48	0.0	0	-0.7685	FATTY_ACID_METABOLISM;AUTOPHAGY;RIBOSOME_BIOGENESIS
ENSG00000000071	RNF636	29.64	1.624	1	-0.0066	RIBOSOME_BIOGENESIS
ENSG00000000072	SUZ500	34.82	0.0	0	-0.3467	MAPK_SIGNALING
ENSG00000000073	KRT495	60.37	0.0	0	-0.1476	DNA_REPAIR
ENSG00000000074	UGT290	39.24	1.9308	1	0.8392	SPERMATOGENESIS
ENSG00000000075	RAB692	688.29	0.0	0	0.7079	EXTRACELLULAR_MATRIX_ORGANIZATION;MAPK_SIGNALING;SPERMATOGENESIS;REACTIVE_OXYGEN_SPECIES
ENSG00000000076	CHRM770	183.45	0.0	0	-1.547	
ENSG00000000077	SEC732	5.92	0.0	0	-0.1248	DNA_REPAIR
ENSG00000000078	EIF91	10.78	0.0	0	0.316	TGF_BETA_SIGNALING
ENSG00000000079	HDAC828	338.75	0.0	0	0.2613	
ENSG00000000080	MYO434	256.27	0.0	0	0.0798	SPERMATOGENESIS
ENSG00000000081	TET194	107.4	0.0	0	-0.0966	P53_SIGNALING
ENSG00000000082	PRKC52	187.74	0.0	0	0.0765	
ENSG00000000083	ABC96	2.68	0.0	0	-0.435	HEDGEHOG_SIGNALING
ENSG00000000084	HIST1H171	23.52	0.0	0	0.9836	
ENSG00000000085	GABR61	35.17	0.0	0	-0.0487	CHOLESTEROL_HOMEOSTASIS;PI3K_AKT_MTOR_SIGNALING
ENSG00000000086	CUL119	8.92	0.0	0	-0.9536	DNA_REPAIR;HYPOXIA;PEROXISOME
ENSG00000000087	CYP143	170.9	0.0	0	-0.1089	
ENSG00000000088	SIRT505	67.39	1.9239	1	0.451	DNA_REPAIR
ENSG00000000089	KIF84	149.14	0.0	0	0.8615	TGF_BETA_SIGNALING
ENSG00000000090	RAB264	657.03	0.0	0	-0.1365	UNFOLDED_PROTEIN_RESPONSE
ENSG00000000091	SLC238	15.1	0.0	0	1.1237	
ENSG00000000092	ANK108	245.05	0.0	0	-0.7811	ANGIOGENESIS
ENSG00000000093	ANAPC121	7.95	0.0	0	-0.2868	
ENSG00000000094	TUBB861	31.67	0.0	0	-0.0176	CHOLESTEROL_HOMEOSTASIS
ENSG00000000095	BRD275	93.64	0.0	0	-0.4132	
ENSG00000000096	EZH636	626.23	0.0	0	0.3534	TGF_BETA_SIGNALING
ENSG00000000097	KIF220	15.85	0.0	0	0.68	FATTY_ACID_METABOLISM;ESTROGEN_RESPONSE
ENSG00000000098	RAB11FIP674	17.49	0.0	0	0.3937	
ENSG00000000099	PPP2R445	34.42	0.0	0	0.4977	E2F_TARGETS
ENSG00000000100	RNF711	61.56	0.0	0	1.513	
ENSG00000000101	ADAM24	14.05	0.0	0	-0.1845	
