gene_set	set_size	n_significant_in_set	expected_by_chance	fold_enrichment	pvalue	padj	genes
TNFA_SIGNALING_VIA_NFKB	53	21	1.58	13.294	2.0811392712534435e-19	8.324557085013775e-18	BCL2L1;BID;CDH2;FLT1;G6PD;KCN832;KEAP1;MMP438;NDUFA1;NQO1;PALB2;PGR;SKP377;SMAD2;SMAD4;SMARC187;STAT5A;TUBB851;USP194;YAP1;ZNF338
INFLAMMATORY_RESPONSE	42	13	1.25	10.385	9.18872840639664e-11	1.8377456812793278e-09	ABC501;ANK809;ARID74;AXIN2;BRD723;JAK1;MYC;RAB807;RPS385;RPS68;RPS6KB1;SCD;SDHB
HYPOXIA	93	17	2.77	6.133	9.299097739662244e-10	1.2398796986216326e-08	ATM;CD4;CHEK2;HDAC584;KIF53;NDUFS1;NOTCH2;RNF51;RPS68;SLC457;SLC7A11;SMARC18;TAZ;TGFB1;TLR4;TWIST1;VIM
DNA_REPAIR	112	16	3.34	4.793	1.1953141554509104e-07	1.1953141554509104e-06	ACO2;APC;BRCA2;CASP9;FOXO3;FOXP3;KCN832;KRAS;MAPK339;NR3C1;RPL621;SEC619;SIRT505;TAZ;TET290;THBS1
ESTROGEN_RESPONSE	109	5	3.25	1.539	0.22399249844866473	1.0	CD19;FOXO3;MMP438;MRPL474;NLRP3
MAPK_SIGNALING	91	4	2.71	1.475	0.28676293693921184	1.0	CASP9;HDAC429;IL10;SMAD4
MYC_TARGETS	39	2	1.16	1.721	0.3248572096332407	1.0	HDAC584;MMP438
E2F_TARGETS	69	3	2.06	1.459	0.33889175717202086	1.0	CASP9;SEC619;TGFBR1
INTERFERON_ALPHA_RESPONSE	102	4	3.04	1.316	0.36188623946806725	1.0	CASP8;KIF53;RPL630;SMARC18
GLYCOLYSIS	44	2	1.31	1.525	0.37944249231459865	1.0	MMP9;USP194
UNFOLDED_PROTEIN_RESPONSE	77	3	2.29	1.307	0.4045107009028947	1.0	HDAC584;SMAD4;THBS1
SPERMATOGENESIS	77	3	2.29	1.307	0.4045107009028947	1.0	RPS6KB1;SIRT1;SMARC187
MYOGENESIS	47	2	1.4	1.428	0.41132876870506774	1.0	ADRB441;ZEB2
INTERFERON_GAMMA_RESPONSE	78	3	2.32	1.29	0.4126074144950792	1.0	BRD723;PALB2;THBS1
AUTOPHAGY	85	3	2.53	1.184	0.4682181945661697	1.0	MYC;SIRT1;TWIST1
REACTIVE_OXYGEN_SPECIES	91	3	2.71	1.106	0.5140027813915969	1.0	ID2;RPS6KB1;STAT5A
FATTY_ACID_METABOLISM	62	2	1.85	1.082	0.55694099774182	1.0	BRD723;CCND1
PROTEIN_SECRETION	71	2	2.12	0.945	0.6314069341790998	1.0	NDUFA1;SMARC18
OXIDATIVE_PHOSPHORYLATION	73	2	2.18	0.919	0.6465847672817364	1.0	CHEK2;GSR
ANGIOGENESIS	78	2	2.32	0.86	0.6823838556728989	1.0	NDUFA1;SEC619
ANDROGEN_RESPONSE	44	1	1.31	0.763	0.7378588688254382	1.0	COL1A1
HEDGEHOG_SIGNALING	92	2	2.74	0.729	0.7671445773689595	1.0	DHX301;KEAP1
TGF_BETA_SIGNALING	94	2	2.8	0.714	0.7775190336841677	1.0	ADRB12;THRB
PEROXISOME	50	1	1.49	0.671	0.7818667210419687	1.0	SMARC18
P53_SIGNALING	100	2	2.98	0.671	0.8062722212602758	1.0	SLC7A11;TGFB1
PI3K_AKT_MTOR_SIGNALING	101	2	3.01	0.664	0.8107333147140805	1.0	CXCL8;HNF1A
RIBOSOME_BIOGENESIS	56	1	1.67	0.599	0.8185395310476895	1.0	MRPL474
EXTRACELLULAR_MATRIX_ORGANIZATION	104	2	3.1	0.645	0.8235768935873825	1.0	KIF679;ZEB2
CHOLESTEROL_HOMEOSTASIS	109	2	3.25	0.616	0.8432673063906309	1.0	GSR;PALB2
CELL_CYCLE_G2M_CHECKPOINT	62	1	1.85	0.541	0.8490910247190668	1.0	DHX301
ADIPOGENESIS	68	1	2.03	0.493	0.8745355616599813	1.0	DHX365
MRNA_SPLICING	70	1	2.09	0.479	0.8820329343855735	1.0	NQO1
EPITHELIAL_MESENCHYMAL_TRANSITION	73	1	2.18	0.46	0.8924539909638145	1.0	LDHA
NOTCH_SIGNALING	88	1	2.62	0.381	0.9323480856138613	1.0	SLC457
WNT_BETA_CATENIN_SIGNALING	104	1	3.1	0.323	0.958823024092677	1.0	TWIST1
COMPLEMENT_CASCADE	74	0	2.21	0.0	1.0	1.0	
COAGULATION	47	0	1.4	0.0	1.0	1.0	
APOPTOSIS	57	0	1.7	0.0	1.0	1.0	
IL6_JAK_STAT3_SIGNALING	80	0	2.38	0.0	1.0	1.0	
XENOBIOTIC_METABOLISM	46	0	1.37	0.0	1.0	1.0	
